Geneid,glyphosatea,glyphosateb,watera,waterb
TRNAV-CAC,0,0,0,0
LOC122604327,0,0,0,0
LOC122586054,192,222,798,1038
LOC122586056,1,1,3,1
LOC122586055,2282,2527,3411,2776
LOC122604373,0,0,0,0
LOC122584050,514,402,510,477
LOC122585743,73,116,170,143
LOC122589782,0,0,0,0
LOC122604448,1,4,10,8
LOC122604538,2,2,5,1
LOC122585750,0,0,0,2
LOC122604621,0,0,0,0
LOC122586139,0,0,0,0
LOC122604710,0,0,1,0
LOC122604801,0,0,0,0
LOC122604893,0,0,0,0
LOC122604984,0,0,0,0
LOC122605257,0,0,0,0
LOC122605349,0,1,1,1
LOC122605537,0,0,0,0
LOC122585252,41,47,39,47
LOC122585450,151,89,154,69
LOC122585144,551,942,161,108
LOC122603890,0,0,0,0
LOC122605635,0,0,0,0
LOC122585017,10,26,58,83
LOC122607252,333,264,449,453
LOC122609785,881,1115,747,520
LOC122607154,202,191,469,351
LOC122605729,0,1,0,0
LOC122579328,173,165,370,307
LOC122608247,2476,2128,7920,6583
LOC122605828,788,566,69,55
LOC122585179,10518,11165,731,942
LOC122606220,0,0,0,0
LOC122606323,0,0,0,0
LOC122584269,653,1596,2912,2425
LOC122606459,1009,1945,2840,2167
LOC122606558,0,0,0,0
LOC122585740,849,1655,3037,2372
LOC122585130,405,296,32,17
LOC122599698,5132,5153,9143,6224
LOC122585449,1355,846,499,406
LOC122578958,577,509,854,677
LOC122604375,10,4,15,22
LOC122604380,431,548,928,654
LOC122599139,0,0,0,0
LOC122607387,11,7,2,0
LOC122607725,0,0,0,0
LOC122607812,0,0,0,0
LOC122586167,639,514,433,343
LOC122584996,0,0,0,0
LOC122585477,0,0,0,0
LOC122585476,2,0,1,0
LOC122585852,0,1,12,3
LOC122600329,0,0,1,0
LOC122609260,241,162,598,578
TRNAH-AUG,0,0,0,0
LOC122608091,0,0,0,0
LOC122585568,2,2,4,3
LOC122585131,27,30,159,115
LOC122584706,977,932,1136,848
LOC122601688,5002,4203,3047,2861
LOC122585950,706,529,1086,850
LOC122609058,1,0,0,0
LOC122580457,1148,1226,1501,1458
LOC122609132,0,0,0,0
LOC122585138,284,228,388,359
LOC122609301,0,0,0,0
LOC122602645,1833,1837,2354,1748
LOC122585902,0,0,3,2
LOC122585056,1268,1513,2833,2376
LOC122603248,2434,2167,2938,3331
LOC122609823,0,0,0,0
LOC122609915,0,0,0,0
LOC122610009,0,0,0,0
LOC122604104,1137,966,911,706
LOC122598970,0,0,0,0
LOC122610096,0,0,0,0
LOC122610176,0,0,0,0
LOC122598441,530,496,491,392
LOC122598430,531,329,1345,1398
LOC122601833,1119,1048,2755,2143
LOC122583983,528,355,12,5
LOC122583972,150,114,236,221
LOC122584741,530,601,517,381
LOC122584778,183,214,322,247
LOC122606139,199,300,177,405
LOC122604355,1152,872,1242,1052
LOC122606074,3,9,29,39
LOC122606064,17,29,183,161
LOC122606052,12,35,132,94
LOC122583541,10,31,167,134
LOC122583532,9,43,193,185
LOC122600275,4,13,105,86
LOC122600267,12,52,172,153
LOC122579912,591,479,242,229
LOC122600754,323,456,279,190
LOC122584900,234,317,445,296
LOC122585429,0,0,8,2
LOC122586096,1,1,9,6
LOC122585674,9,20,47,32
LOC122585548,3,6,34,36
LOC122585753,3,6,10,10
LOC122610690,0,0,0,0
LOC122610837,0,0,0,0
LOC122585037,109,89,76,89
LOC122610928,1,3,1,3
LOC122584839,45,43,1604,844
LOC122611332,264,248,478,323
LOC122611019,0,1,0,0
LOC122586099,0,1,1,2
LOC122611197,0,0,0,0
LOC122586131,9,2,1,2
LOC122611288,0,0,0,0
LOC122578130,0,0,0,0
LOC122586213,0,0,0,0
LOC122585650,0,0,0,0
LOC122607916,1285,1604,248,99
LOC122586229,10,2,3,0
LOC122586232,1,2,0,0
LOC122586233,0,0,0,1
LOC122586183,1,0,1,0
LOC122609317,66,54,23,31
LOC122585526,470,458,621,530
LOC122585008,1175,1222,1740,1317
LOC122578406,0,0,0,0
LOC122578500,0,0,0,0
LOC122578966,0,0,0,0
LOC122585729,415,461,489,414
LOC122585164,69,57,102,72
LOC122579056,11,5,0,0
LOC122584827,35,61,71,76
LOC122581701,882,843,3186,2161
LOC122586158,84,93,196,114
LOC122586104,3614,2270,3027,2361
LOC122582751,131,208,855,847
LOC122579244,0,0,0,0
LOC122584764,38,42,158,125
LOC122597837,0,83,123,0
LOC122590772,2,0,1,0
LOC122600593,1112,1006,8728,6471
LOC122585589,318,312,628,443
LOC122598787,2,1,0,1
LOC122606331,3473,1808,445,365
LOC122606340,196,184,5,0
LOC122579517,0,0,0,0
LOC122579609,0,0,0,0
LOC122585901,206,227,480,449
LOC122579792,0,2,0,0
LOC122579884,0,0,0,0
LOC122585076,64,96,100,76
LOC122601623,1703,1502,1774,1352
LOC122580220,0,0,0,0
LOC122580325,0,0,0,0
LOC122584892,0,0,3,3
LOC122585401,329,293,517,409
LOC122580622,0,0,0,0
LOC122580743,0,0,0,0
LOC122580869,0,0,0,0
LOC122584218,15,62,240,234
LOC122598630,12059,7694,11218,7553
LOC122581421,0,0,0,0
LOC122581515,0,0,0,0
LOC122597397,0,0,0,0
LOC122585253,152,149,676,519
LOC122585072,176,151,177,104
LOC122581966,0,0,0,0
LOC122582052,0,0,0,0
LOC122584904,116,206,1039,778
LOC122582341,0,0,0,0
LOC122582430,0,0,0,0
LOC122585913,0,0,0,0
LOC122598164,0,2,8,1
LOC122581542,97,159,168,77
LOC122586197,0,0,0,0
LOC122582917,0,0,0,0
LOC122583015,0,0,0,0
LOC122583113,0,0,1,0
LOC122583307,1,0,0,0
LOC122583648,0,0,0,0
LOC122584049,0,0,0,0
LOC122600954,2460,1235,1373,1134
LOC122584203,0,0,1,1
LOC122584294,0,0,0,0
LOC122602958,129,149,608,489
LOC122585459,24,38,142,179
LOC122584894,17,17,37,18
LOC122585915,0,0,0,0
LOC122586038,45,37,98,68
LOC122584738,0,0,0,0
LOC122584746,0,0,0,0
LOC122581043,147,180,615,521
LOC122607996,281,258,574,447
LOC122593501,25,21,45,36
LOC122584773,2,4,14,15
LOC122584818,0,0,0,0
LOC122584837,0,0,0,0
LOC122584853,0,0,0,0
LOC122586523,4,12,24,2
LOC122584879,0,0,0,0
LOC122584889,1,2,0,0
LOC122584898,0,0,1,0
LOC122584908,0,0,0,0
LOC122584940,0,0,0,0
LOC122584974,0,0,0,0
LOC122584994,0,0,0,0
LOC122585002,0,0,0,0
LOC122585026,0,0,0,0
LOC122585046,0,0,0,0
LOC122607567,0,1,2,5
LOC122607481,33,51,823,855
LOC122585066,0,0,0,0
